00M		Thigpen	-89.2345	31.9538	1
00R		Livingston Municipal	-95.0179	30.6859	2
00V		Meadow Lake	-104.57	38.9457	3
01G		Perry-Warsaw	-78.0521	42.7413	4
01J		Hilliard Airpark	-81.9059	30.688	5
01M		Tishomingo County	-88.2011	34.4917	6
02A		Gragg-Wade	-86.6115	32.8505	7
02C		Capitol	-88.1779	43.0875	8
02G		Columbiana County	-80.6414	40.6733	9
03D		Memphis Memorial	-92.227	40.4473	10
04M		Calhoun County	-89.3428	33.9301	11
04Y		Hawley Municipal	-96.3509	46.8839	12
05C		Griffith-Merrillville	-87.4011	41.5196	13
05F		Gatesville - City/County	-97.797	31.4213	14
05U		Eureka	-116.005	39.6042	15
06A		Moton  Municipal	-85.68	32.4605	16
06C		Schaumburg	-88.1012	41.9893	17
06D		Rolla Municipal	-99.6209	48.8843	18
06M		Eupora Municipal	-89.3126	33.5346	19
06N		Randall	-74.3919	41.4316	20
06U		Jackpot/Hayden	-114.658	41.976	21
07C		Dekalb County	-85.0643	41.3072	22
07F		Gladewater Municipal	-94.9717	32.5288	23
07G		Fitch H Beach	-84.8114	42.5745	24
07K		Central City Municipal	-98.0503	41.1167	25
08A		Wetumpka Municipal	-86.3282	32.5294	26
08D		Stanley Municipal	-102.406	48.3008	27
08K		Harvard State	-98.0798	40.6514	28
08M		Carthage-Leake County	-89.5301	32.7612	29
09A		Butler-Choctaw County	-88.1275	32.1193	30
09J		Jekyll Island	-81.4278	31.0745	31
09K		Sargent Municipal	-99.3404	41.637	32
09M		Charleston Municipal	-90.0781	33.9915	33
09W		South Capitol Street	-77.0075	38.8687	34
0A3		Smithville Municipal	-85.8093	35.9853	35
0A8		Bibb County	-87.0889	32.9368	36
0A9		Elizabethton Municipal	-82.1737	36.3709	37
0AK		Pilot Station	-162.893	61.934	38
0B1		Col. Dyke	-70.8078	44.4251	39
0B4		Hartington Municipal	-97.2526	42.6036	40
0B5		Turners Falls	-72.5228	42.5914	41
0B7		Warren-Sugar Bush	-72.8271	44.1167	42
0B8		Elizabeth	-72.0316	41.2513	43
0C0		Dacy	-88.6334	42.4042	44
0C4		Pender Municipal	-96.7289	42.1139	45
0D1		South Haven Municipal	-86.2561	42.3508	46
0D8		Gettysburg Municipal	-99.9535	44.9873	47
0E0		Moriarty	-106.009	34.9856	48
0E8		Crownpoint	-108.202	35.7177	49
0F2		Bowie Municipal	-97.7756	33.6017	50
0F4		Loup City Municipal	-98.9906	41.2903	51
0F7		Fountainhead Lodge Airpark	-95.6017	35.389	52
0F8		William R Pogue Municipal	-96.1518	36.1753	53
0F9		Tishomingo Airpark	-96.6756	34.1959	54
0G0		North Buffalo Suburban	-78.7033	43.1032	55
0G3		Tecumseh Municipal	-96.1714	40.3994	56
0G6		Williams County	-84.5066	41.4674	57
0G7		Finger Lakes Regional	-76.7816	42.8806	58
0H1		Trego Wakeeney	-99.8929	39.0045	59
0I8		Cynthiana-Harrison County	-84.2841	38.3667	60
0J0		Abbeville Municipal	-85.2388	31.6002	61
0J4		Florala Municipal	-86.3116	31.0425	62
0J6		Headland Municipal	-85.3097	31.3649	63
0K7		Humboldt Municipal	-94.2452	42.7361	64
0L5		Goldfield	-117.238	37.718	65
0L7		Jean	-115.33	35.7683	66
0L9		Echo Bay	-114.464	36.3111	67
0M0		Dumas Municipal	-91.5343	33.8845	68
0M1		Scott	-88.128	35.6378	69
0M4		Benton County	-88.1233	36.0112	70
0M5		Humphreys County	-87.7382	36.1166	71
0M6		Panola County	-89.9001	34.3668	72
0M8		Byerley	-91.1877	32.8259	73
0O3		Calaveras Co-Maury Rasmussen	-120.648	38.1461	74
0O4		Corning Municipal	-122.171	39.9438	75
0O5		University	-121.786	38.5315	76
0Q5		Shelter Cove	-124.073	40.0276	77
0Q6		Shingletown	-121.818	40.5221	78
0R0		Columbia-Marion County	-89.8128	31.297	79
0R1		Atmore Municipal	-87.4468	31.0162	80
0R3		Abbeville Chris Crusta Memorial	-92.0842	29.9758	81
0R4		Concordia Parish	-91.5001	31.5668	82
0R5		David G Joyce	-92.6603	31.9637	83
0R7		Red River	-93.3074	31.9907	84
