CAK	Akron-Canton Regional	40.91631194	-81.44246556	1
AKR	Akron Fulton Intl.	41.03750000	-81.46693944	1
AEG	Double Eagle II	35.14515278	-106.79516170	2
ABQ	Albuquerque International	35.04022222	-106.60919440	2
AEX	Alexandria International	31.32737167	-92.54855611	3
ESF	Esler Regional	31.39490250	-92.29577194	3
ABE	Lehigh Valley International	40.65236278	-75.44040167	4
1N9	Allentown Queen City Muni	40.57027778	-75.48830556	4
LHD	Lake Hood SPB	61.18000361	-149.97193220	5
MRI	Merrill	61.21437861	-149.84616140	5
ANC	Ted Stevens Anchorage International	61.17432028	-149.99618560	5
ADM	Ardmore Municipal	34.30320667	-97.01952167	6
1F0	Downtown Ardmore	34.14698917	-97.12265194	6
ATL	William B Hartsfield-Atlanta Intl	33.64044444	-84.42694444	7
FTY	Fulton County - Brown	33.77913889	-84.52136111	7
FFC	Peachtree City - Falcon	33.35725000	-84.57183333	7
PDK	Dekalb-Peachtree	33.87560444	-84.30196778	7
ACY	Atlantic City International	39.45758333	-74.57716667	8
AIY	Atlantic City Municipal	39.36002778	-74.45608333	8
AGS	Bush	33.36995500	-81.96449611	9
DNL	Daniel	33.46663667	-82.03933917	9
BFL	Meadows	35.43359806	-119.05676810	10
L45	Bakersfield Municipal	35.32483333	-118.99583330	10
BWI	Baltimore-Washington International	39.17540167	-76.66819833	11
MTN	Martin State	39.32566333	-76.41376556	11
BQK	Glynco Jetport	31.25902778	-81.46630556	12
SSI	Malcolm McKinnon	31.15159250	-81.39134667	12
9G0	Buffalo Airfield	42.86200306	-78.71658528	13
BUF	Buffalo Niagara Intl	42.94052472	-78.73216667	13
JZI	Charleston Executive	32.70086111	-80.00291667	14
CHS	Charleston AFB/International	32.89864639	-80.04050583	14
STT	Cyril E. King	18.33730556	-64.97336111	15
X66	Charlotte Amalie Harbor Seaplane Base	18.33856722	-64.94070111	15
CGX	Chicago Meigs	41.85884389	-87.60791167	16
ORD	Chicago O'Hare International	41.97959500	-87.90446417	16
MDW	Chicago Midway	41.78598250	-87.75242444	16
11IS	Schaumburg Heliport	42.04808278	-88.05257194	17
06C	Schaumburg	41.98934083	-88.10124278	17
STX	Henry E. Rohlsen	17.70188889	-64.79855556	18
X67	Christiansted Harbor Seaplane Base	17.74719528	-64.70486444	18
LUK	Cincinnati Muni-Lunken	39.10334417	-84.41861417	19
ISZ	Cincinnati-Blue Ash	39.24669444	-84.38897222	19
CGF	Cuyahoga County	41.56512389	-81.48635389	20
BKL	Burke Lakefront	41.51750000	-81.68333333	20
CLE	Cleveland-Hopkins Intl	41.41089417	-81.84939667	20
CLK	Clinton Municipal	35.53832778	-98.93269500	21
CSM	Clinton-Sherman	35.33983917	-99.20049944	21
COS	City of Colorado Springs Muni	38.80580556	-104.70025000	22
00V	Meadow Lake	38.94574889	-104.56989330	22
CAE	Columbia Metropolitan	33.93884000	-81.11953944	23
CUB	Columbia Owens Downtown	33.97047222	-80.99525000	23
LCK	Rickenbacker International	39.81375917	-82.92786472	24
OSU	Ohio State University	40.07977778	-83.07302778	24
TZR	Bolton	39.90081778	-83.13719361	24
CMH	Port Columbus Intl	39.99798528	-82.89188278	24
CKU	Cordova Muni	60.54390333	-145.72670420	25
CDV	Merle K (Mudhole) Smith	60.49183389	-145.47765030	25
DAL	Dallas Love	32.84711389	-96.85177222	26
RBD	Redbird	32.68086111	-96.86819444	26
49T	Downtown Heliport	32.77333333	-96.80027778	26
I19	Greene County	39.69172639	-83.99023806	27
DAY	James M Cox Dayton Intl	39.90237583	-84.21937500	27
MGY	Dayton Wright Brothers	39.58897222	-84.22486111	27
DEN	Denver Intl	39.85840806	-104.66700190	28
APA	Centennial	39.57012833	-104.84929420	28
BJC	Jeffco	39.90878667	-105.11721580	28
FTG	Front Range	39.78525000	-104.54313890	28
DTW	Detroit Metropolitan-Wayne County	42.21205889	-83.34883583	29
YIP	Willow Run	42.23792750	-83.53040889	29
DET	Detroit City	42.40919444	-83.00986111	29
DOV	Dover Air Force Base	39.13011250	-75.46631028	30
33N	Delaware Airpark	39.21837556	-75.59642667	30
DLH	Duluth International	46.84209028	-92.19364861	31
DYT	Sky Harbor	46.72186083	-92.04343889	31
F08	Eufaula Municipal	35.29593194	-95.62526417	32
0F7	Fountainhead Lodge Airpark	35.38898833	-95.60165111	32
EKA	Murray	40.80338889	-124.11279170	33
O19	Kneeland	40.71930000	-123.92755310	33
PR03	Fajardo Harbor Seaplane Base	18.33967500	-65.62460583	34
X95	Diego Jimenez Torres	18.30800972	-65.66182806	34
UIL	Quillayute	47.93714444	-124.56124970	35
S18	Forks	47.94146583	-124.39298670	35
FWA	Fort Wayne International	40.97846583	-85.19514639	36
SMD	Smith	41.14335389	-85.15277694	36
AFW	Fort Worth Alliance	32.98763889	-97.31880556	37
FTW	Fort Worth Meacham International	32.81977778	-97.36244444	37
FWS	Spinks	32.56522778	-97.30807778	37
FCH	Fresno-Chandler Downtown	36.73236500	-119.81989610	38
FAT	Fresno Yosemite International	36.77619444	-119.71813890	38
W33	Friday Harbor	48.53732194	-123.00962360	39
FHR	Friday Harbor	48.52197222	-123.02436110	39
FLL	Fort Lauderdale-Hollywood Int'l	26.07258333	-80.15275000	40
FXE	Fort Lauderdale Executive	26.19728000	-80.17070833	40
RSW	Southwest Florida International	26.53616667	-81.75516667	41
FMY	Page	26.58661111	-81.86325000	41
GYH	Donaldson Center	34.75831917	-82.37641500	42
GMU	Greenville Downtown	34.84794444	-82.35000000	42
3Z9	Haines SPB	59.23495111	-135.44071810	43
HNS	Haines	59.24522806	-135.52210860	43
CXY	Capital City	40.21713889	-76.85147222	44
MDT	Harrisburg Intl	40.19349528	-76.76340361	44
HNH	Hoonah	58.09609139	-135.40969750	45
OOH	Hoonah SPB	58.11215944	-135.45180500	45
IWS	West Houston	29.81819444	-95.67261111	46
SPX	Houston-Gulf	29.50836111	-95.05133333	46
DWH	David Wayne Hooks Memorial	30.06186111	-95.55277778	46
SGR	Sugar Land Municipal/Hull	29.62225306	-95.65652889	46
LVJ	Clover	29.52130556	-95.24216667	46
IAH	George Bush Intercontinental	29.98047222	-95.33972222	46
EFD	Ellington	29.60733333	-95.15875000	46
HOU	William P Hobby	29.64541861	-95.27888889	46
HSV	Huntsville International	34.64044750	-86.77310944	47
M82	Madison County Executive	34.85645028	-86.55621472	47
IND	Indianapolis International	39.71732917	-86.29438417	48
IN03	Indianapolis Downtown	39.76587639	-86.14887500	48
TYQ	Indianapolis Terry	40.03064972	-86.25143750	48
UMP	Indianapolis Metropolitan	39.93520250	-86.04495333	48
EYE	Eagle Creek Airpark	39.83070944	-86.29438056	48
MQJ	Mount Comfort	39.84348556	-85.89706389	48
JAN	Jackson International	32.31116667	-90.07588889	49
HKS	Hawkins	32.33477250	-90.22253167	49
JAX	Jacksonville International	30.49405556	-81.68786111	50
23J	Herlong	30.27778889	-81.80594722	50
CRG	Craig Municipal	30.33633333	-81.51444444	50
VQQ	Cecil	30.21867306	-81.87666444	50
5Z1	Juneau Harbor	58.29888889	-134.40777780	51
JNU	Juneau International	58.35496194	-134.57627640	51
AFE	Kake	56.96048139	-133.90826940	52
KAE	Kake SPB	56.97299639	-133.94561470	52
FCA	Glacier Park Intl	48.31140472	-114.25506940	53
S27	Kalispell City	48.17856944	-114.30374080	53
MKC	Downtown	39.12324111	-94.59273500	54
MCI	Kansas City International	39.29760528	-94.71390556	54
KTN	Ketchikan International	55.35556861	-131.71374000	55
8K9	Murphys Pullout SPB	55.38965028	-131.73807420	55
ILE	Killeen Municipal	31.08583333	-97.68650000	56
GRK	Robert Gray AAF	31.06489778	-97.82779778	56
AKW	Klawock	55.57923333	-133.07599720	57
AQC	Klawock SPB	55.55465750	-133.10169280	57
TYS	McGhee-Tyson	35.81248722	-83.99285583	58
DKX	Knoxville Downtown Island	35.96383361	-83.87365389	58
ADQ	Kodiak	57.74996778	-152.49385530	59
T44	Trident Basin	57.78083333	-152.39138890	59
LCH	Lake Charles Regional	30.12609750	-93.22340361	60
CWF	Chennault International	30.21059167	-93.14318944	60
L15	Henderson	35.97636444	-115.13277080	61
LAS	McCarran International	36.08036111	-115.15233330	61
VGT	North Las Vegas	36.21166667	-115.19575000	61
LAX	Los Angeles International	33.94253611	-118.40807440	62
WHP	Whiteman	34.25932528	-118.41343310	62
LOU	Bowman	38.22800000	-85.66372222	63
SDF	Louisville International-Standiford	38.17438889	-85.73600000	63
MAC	Herbert Smart Downtown	32.82213889	-83.56202778	64
